,Team,Date,Rank
0,Texas,20060801,1
1,USC,20060801,2
2,Virginia Tech,20060801,3
3,Ohio State,20060801,4
4,Miami (Florida),20060801,5
5,Auburn,20060801,6
6,LSU,20060801,7
7,Penn State,20060801,8
8,Oklahoma,20060801,9
9,Michigan,20060801,10
10,Louisville,20060801,11
11,Notre Dame,20060801,12
12,Florida,20060801,13
13,West Virginia,20060801,14
14,Georgia,20060801,15
15,Boston College,20060801,16
16,Alabama,20060801,17
17,Iowa,20060801,18
18,Florida State,20060801,19
19,Texas Tech,20060801,20
20,Clemson,20060801,21
21,California,20060801,22
22,TCU,20060801,23
23,Wisconsin,20060801,24
24,Minnesota,20060801,25
25,Arizona State,20060801,26
26,Oregon,20060801,27
27,Georgia Tech,20060801,28
28,UCLA,20060801,29
29,Nebraska,20060801,30
30,Maryland,20060801,31
31,Arkansas,20060801,32
32,Iowa State,20060801,33
33,Texas A&M,20060801,34
34,Utah,20060801,35
35,North Carolina State,20060801,36
36,Virginia,20060801,37
37,Michigan State,20060801,38
38,Boise State,20060801,39
39,Fresno State,20060801,40
40,Wake Forest,20060801,41
41,Tennessee,20060801,42
42,South Carolina,20060801,43
43,Tulsa,20060801,44
44,Northwestern,20060801,45
45,Missouri,20060801,46
46,North Carolina,20060801,47
47,Purdue,20060801,48
48,Stanford,20060801,49
49,Oregon State,20060801,50
50,South Florida,20060801,51
51,Colorado,20060801,52
52,UTEP,20060801,53
53,Kansas,20060801,54
54,Pittsburgh,20060801,55
55,BYU,20060801,56
56,Kansas State,20060801,57
57,Northern Illinois,20060801,58
58,Washington State,20060801,59
59,Southern Mississippi,20060801,60
60,Toledo,20060801,61
61,Connecticut,20060801,62
62,Navy,20060801,63
63,Oklahoma State,20060801,64
64,Arizona,20060801,65
65,Rutgers,20060801,66
66,Illinois,20060801,67
67,Baylor,20060801,68
68,Cincinnati,20060801,69
69,Memphis,20060801,70
70,UCF,20060801,71
71,Colorado State,20060801,72
72,New Mexico,20060801,73
73,Indiana,20060801,74
74,Nevada,20060801,75
75,Mississippi State,20060801,76
76,Akron,20060801,77
77,Marshall,20060801,78
78,Bowling Green,20060801,79
79,Houston,20060801,80
80,Hawai'i,20060801,81
81,Vanderbilt,20060801,82
82,San Diego State,20060801,83
83,Central Michigan,20060801,84
84,Louisiana Tech,20060801,85
85,Kentucky,20060801,86
86,UAB,20060801,87
87,East Carolina,20060801,88
88,Miami (Ohio),20060801,89
89,Western Michigan,20060801,90
90,Washington,20060801,91
91,Air Force,20060801,92
92,Ball State,20060801,93
93,Wyoming,20060801,94
94,Army,20060801,95
95,Mississippi,20060801,96
96,Ohio,20060801,97
97,SMU,20060801,98
98,Louisiana-Lafayette,20060801,99
99,Syracuse,20060801,100
100,Eastern Michigan,20060801,101
101,Duke,20060801,102
102,Middle Tennessee,20060801,103
103,Troy,20060801,104
104,Arkansas State,20060801,105
105,UNLV,20060801,106
106,Rice,20060801,107
107,Tulane,20060801,108
108,Utah State,20060801,109
109,North Texas,20060801,110
110,Louisiana-Monroe,20060801,111
111,San Jose State,20060801,112
112,Kent State,20060801,113
113,Idaho,20060801,114
114,Florida International,20060801,115
115,Florida Atlantic,20060801,116
116,New Mexico State,20060801,117
117,Buffalo,20060801,118
118,Temple,20060801,119
119,Texas,20060904,1
120,USC,20060904,2
121,Ohio State,20060904,3
122,Auburn,20060904,4
123,LSU,20060904,5
124,Virginia Tech,20060904,6
125,Penn State,20060904,7
126,Notre Dame,20060904,8
127,Michigan,20060904,9
128,Oklahoma,20060904,10
129,Florida,20060904,11
130,Louisville,20060904,12
131,West Virginia,20060904,13
132,Miami (Florida),20060904,14
133,Florida State,20060904,15
134,Boston College,20060904,16
135,Alabama,20060904,17
136,Georgia,20060904,18
137,Texas Tech,20060904,19
138,TCU,20060904,20
139,Iowa,20060904,21
140,Wisconsin,20060904,22
141,Clemson,20060904,23
142,Oregon,20060904,24
143,Minnesota,20060904,25
144,UCLA,20060904,26
145,California,20060904,27
146,Nebraska,20060904,28
147,Arizona State,20060904,29
148,Iowa State,20060904,30
149,Georgia Tech,20060904,31
150,Tennessee,20060904,32
151,Maryland,20060904,33
152,Texas A&M,20060904,34
153,South Carolina,20060904,35
154,Arkansas,20060904,36
155,Northwestern,20060904,37
156,North Carolina State,20060904,38
157,Fresno State,20060904,39
158,Michigan State,20060904,40
159,Utah,20060904,41
160,Wake Forest,20060904,42
161,Boise State,20060904,43
162,Tulsa,20060904,44
163,Pittsburgh,20060904,45
164,Missouri,20060904,46
165,Virginia,20060904,47
166,UTEP,20060904,48
167,Purdue,20060904,49
168,South Florida,20060904,50
169,Oregon State,20060904,51
170,Stanford,20060904,52
171,Kansas,20060904,53
172,North Carolina,20060904,54
173,Arizona,20060904,55
174,Northern Illinois,20060904,56
175,Rutgers,20060904,57
176,Washington State,20060904,58
177,Toledo,20060904,59
178,Navy,20060904,60
179,BYU,20060904,61
180,Kansas State,20060904,62
181,Southern Mississippi,20060904,63
182,Connecticut,20060904,64
183,Oklahoma State,20060904,65
184,Colorado,20060904,66
185,Indiana,20060904,67
186,Cincinnati,20060904,68
187,Illinois,20060904,69
188,Colorado State,20060904,70
189,UCF,20060904,71
190,Baylor,20060904,72
191,Nevada,20060904,73
192,Houston,20060904,74
193,Akron,20060904,75
194,Memphis,20060904,76
195,Hawai'i,20060904,77
196,Marshall,20060904,78
197,Bowling Green,20060904,79
198,Vanderbilt,20060904,80
199,UAB,20060904,81
200,Kentucky,20060904,82
201,Central Michigan,20060904,83
202,Mississippi State,20060904,84
203,San Diego State,20060904,85
204,Ball State,20060904,86
205,Louisiana Tech,20060904,87
206,Washington,20060904,88
207,Wyoming,20060904,89
208,East Carolina,20060904,90
209,New Mexico,20060904,91
210,Mississippi,20060904,92
211,Air Force,20060904,93
212,Miami (Ohio),20060904,94
213,Western Michigan,20060904,95
214,Ohio,20060904,96
215,Army,20060904,97
216,SMU,20060904,98
217,Louisiana-Lafayette,20060904,99
218,Syracuse,20060904,100
219,Troy,20060904,101
220,Arkansas State,20060904,102
221,Middle Tennessee,20060904,103
222,UNLV,20060904,104
223,Eastern Michigan,20060904,105
224,Louisiana-Monroe,20060904,106
225,North Texas,20060904,107
226,Rice,20060904,108
227,Duke,20060904,109
228,Tulane,20060904,110
229,Utah State,20060904,111
230,Idaho,20060904,112
231,San Jose State,20060904,113
232,Kent State,20060904,114
233,Florida International,20060904,115
234,Florida Atlantic,20060904,116
235,New Mexico State,20060904,117
236,Buffalo,20060904,118
237,Temple,20060904,119
238,Ohio State,20060909,1
239,USC,20060909,2
240,Auburn,20060909,3
241,Texas,20060909,4
242,Notre Dame,20060909,5
243,LSU,20060909,6
244,Virginia Tech,20060909,7
245,Michigan,20060909,8
246,Florida,20060909,9
247,Boston College,20060909,10
248,Georgia,20060909,11
249,Oklahoma,20060909,12
250,Alabama,20060909,13
251,Texas Tech,20060909,14
252,Florida State,20060909,15
253,Oregon,20060909,16
254,Louisville,20060909,17
255,West Virginia,20060909,18
256,Penn State,20060909,19
257,Miami (Florida),20060909,20
258,Iowa,20060909,21
259,TCU,20060909,22
260,Clemson,20060909,23
261,Wisconsin,20060909,24
262,California,20060909,25
