,Team,Date,Rank
0,Florida,20090801,1
1,Texas,20090801,2
2,Oklahoma,20090801,3
3,USC,20090801,4
4,Virginia Tech,20090801,5
5,Ohio State,20090801,6
6,Kansas,20090801,7
7,California,20090801,8
8,Penn State,20090801,9
9,Alabama,20090801,10
10,Georgia Tech,20090801,11
11,Boise State,20090801,12
12,Georgia,20090801,13
13,TCU,20090801,14
14,Florida State,20090801,15
15,LSU,20090801,16
16,Oregon State,20090801,17
17,Oklahoma State,20090801,18
18,Iowa,20090801,19
19,Mississippi,20090801,20
20,Wake Forest,20090801,21
21,Utah,20090801,22
22,Pittsburgh,20090801,23
23,North Carolina,20090801,24
24,Texas Tech,20090801,25
25,South Florida,20090801,26
26,West Virginia,20090801,27
27,Oregon,20090801,28
28,Michigan State,20090801,29
29,BYU,20090801,30
30,Missouri,20090801,31
31,Cincinnati,20090801,32
32,East Carolina,20090801,33
33,Rutgers,20090801,34
34,Illinois,20090801,35
35,Boston College,20090801,36
36,Notre Dame,20090801,37
37,Stanford,20090801,38
38,Clemson,20090801,39
39,Auburn,20090801,40
40,Vanderbilt,20090801,41
41,Kentucky,20090801,42
42,Troy,20090801,43
43,Arkansas,20090801,44
44,Arizona,20090801,45
45,Virginia,20090801,46
46,Connecticut,20090801,47
47,Tennessee,20090801,48
48,Wisconsin,20090801,49
49,Southern Mississippi,20090801,50
50,North Carolina State,20090801,51
51,Miami (Florida),20090801,52
52,UCLA,20090801,53
53,Maryland,20090801,54
54,Baylor,20090801,55
55,Central Michigan,20090801,56
56,Colorado,20090801,57
57,Texas A&M,20090801,58
58,Arizona State,20090801,59
59,Nebraska,20090801,60
60,Houston,20090801,61
61,Air Force,20090801,62
62,South Carolina,20090801,63
63,Tulsa,20090801,64
64,Minnesota,20090801,65
65,Northwestern,20090801,66
66,UCF,20090801,67
67,Nevada,20090801,68
68,Fresno State,20090801,69
69,Michigan,20090801,70
70,Western Michigan,20090801,71
71,Louisville,20090801,72
72,Hawai'i,20090801,73
73,Louisiana Tech,20090801,74
74,UTEP,20090801,75
75,Navy,20090801,76
76,Arkansas State,20090801,77
77,Ball State,20090801,78
78,Marshall,20090801,79
79,Akron,20090801,80
80,Rice,20090801,81
81,Purdue,20090801,82
82,Duke,20090801,83
83,Buffalo,20090801,84
84,Florida Atlantic,20090801,85
85,UNLV,20090801,86
86,New Mexico,20090801,87
87,Kansas State,20090801,88
88,Mississippi State,20090801,89
89,San Jose State,20090801,90
90,Middle Tennessee,20090801,91
91,Indiana,20090801,92
92,UAB,20090801,93
93,Wyoming,20090801,94
94,Washington State,20090801,95
95,Ohio,20090801,96
96,Bowling Green,20090801,97
97,Colorado State,20090801,98
98,Toledo,20090801,99
99,Temple,20090801,100
100,Memphis,20090801,101
101,Syracuse,20090801,102
102,Florida International,20090801,103
103,Iowa State,20090801,104
104,Eastern Michigan,20090801,105
105,Louisiana-Lafayette,20090801,106
106,Utah State,20090801,107
107,Northern Illinois,20090801,108
108,Louisiana-Monroe,20090801,109
109,Washington,20090801,110
110,San Diego State,20090801,111
111,SMU,20090801,112
112,Kent State,20090801,113
113,Tulane,20090801,114
114,WKU,20090801,115
115,Army,20090801,116
116,Miami (Ohio),20090801,117
117,Idaho,20090801,118
118,North Texas,20090801,119
119,New Mexico State,20090801,120
120,Florida,20090907,1
121,Richmond,20090907,2
122,James Madison,20090907,3
123,USC,20090907,4
124,Oklahoma,20090907,5
125,Villanova,20090907,6
126,Texas,20090907,7
127,Montana,20090907,8
128,Georgia,20090907,9
129,Northern Iowa,20090907,10
130,Ohio State,20090907,11
131,Appalachian State,20090907,12
132,Oregon,20090907,13
133,Cal Poly SLO,20090907,14
134,New Hampshire,20090907,15
135,Penn State,20090907,16
136,Texas Tech,20090907,17
137,Massachusetts,20090907,18
138,Eastern Washington,20090907,19
139,Missouri,20090907,20
140,Virginia Tech,20090907,21
141,Weber State,20090907,22
142,William & Mary,20090907,23
143,LSU,20090907,24
144,Alabama,20090907,25
145,Wofford,20090907,26
146,N Dakota State,20090907,27
147,West Virginia,20090907,28
148,Oregon State,20090907,29
149,Delaware,20090907,30
150,S Dakota State,20090907,31
151,Florida State,20090907,32
152,Oklahoma State,20090907,33
153,Southern Illinois,20090907,34
154,McNeese State,20090907,35
155,Utah,20090907,36
156,TCU,20090907,37
157,Maine,20090907,38
158,Northern Arizona,20090907,39
159,Kansas,20090907,40
160,Arizona,20090907,41
161,Hofstra,20090907,42
162,Montana State,20090907,43
163,Boston College,20090907,44
164,Mississippi,20090907,45
165,Western Illinois,20090907,46
166,Ga Southern,20090907,47
167,Clemson,20090907,48
168,California,20090907,49
169,Harvard,20090907,50
170,Cent Arkansas,20090907,51
171,Nebraska,20090907,52
172,Wake Forest,20090907,53
173,Elon,20090907,54
174,Furman,20090907,55
175,Michigan State,20090907,56
176,North Carolina,20090907,57
177,Holy Cross,20090907,58
178,UCentral Davis,20090907,59
179,Boise State,20090907,60
180,Iowa,20090907,61
181,CSouthern Sacramento,20090907,62
182,North Dakota,20090907,63
183,Cincinnati,20090907,64
184,South Carolina,20090907,65
185,Northeastern,20090907,66
186,Sam Houston State,20090907,67
187,Pittsburgh,20090907,68
188,Georgia Tech,20090907,69
189,Texas State,20090907,70
190,Northwestern LA,20090907,71
191,Arizona State,20090907,72
192,BYU,20090907,73
193,Yale,20090907,74
194,Liberty,20090907,75
195,Rutgers,20090907,76
196,South Florida,20090907,77
197,Youngstown State,20090907,78
198,South Dakota,20090907,79
199,Tennessee,20090907,80
200,Auburn,20090907,81
201,Portland State,20090907,82
202,Rhode Island,20090907,83
203,Maryland,20090907,84
204,Virginia,20090907,85
205,Lafayette,20090907,86
206,Citadel,20090907,87
207,Miami (Florida),20090907,88
208,Vanderbilt,20090907,89
209,Towson,20090907,90
210,Eastern Kentucky,20090907,91
211,Connecticut,20090907,92
212,Kentucky,20090907,93
213,Southern Utah,20090907,94
214,Nicholls State,20090907,95
215,Arkansas,20090907,96
216,Illinois,20090907,97
217,Brown,20090907,98
218,Illinois State,20090907,99
219,North Carolina State,20090907,100
220,Notre Dame,20090907,101
221,S Carolina State,20090907,102
222,Jacksonville State,20090907,103
223,UCLA,20090907,104
224,Wisconsin,20090907,105
225,Lehigh,20090907,106
226,Penn,20090907,107
227,Michigan,20090907,108
228,Colorado,20090907,109
229,SEastern Louisiana,20090907,110
230,Colgate,20090907,111
231,Stanford,20090907,112
232,Northwestern,20090907,113
233,Missouri State,20090907,114
234,TNorthern Martin,20090907,115
235,Air Force,20090907,116
236,Tulsa,20090907,117
237,Northern Colorado,20090907,118
238,Samford,20090907,119
239,Baylor,20090907,120
240,Navy,20090912,1
241,Grambling,20090912,2
242,Albany NY,20090912,3
243,Texas A&M,20090912,4
244,East Carolina,20090912,5
245,Idaho State,20090912,6
246,Eastern Illinois,20090912,7
247,Kansas State,20090912,8
248,Troy,20090912,9
249,Stony Brook,20090912,10
250,SF Austin,20090912,11
251,Purdue,20090912,12
252,Duke,20090912,13
253,Gardner Webb,20090912,14
254,Western Carolina,20090912,15
255,Mississippi State,20090912,16
256,Houston,20090912,17
257,Tennessee State,20090912,18
258,Fordham,20090912,19
259,Louisville,20090912,20
260,Southern Mississippi,20090912,21
261,Coastal Car,20090912,22
262,Princeton,20090912,23
263,Minnesota,20090912,24
264,Ball State,20090912,25
265,Charleston So,20090912,26
266,Florida A&M,20090912,27
267,New Mexico,20090912,28
268,Nevada,20090912,29
269,Delaware State,20090912,30
270,Chattanooga,20090912,31
271,Fresno State,20090912,32
272,Rice,20090912,33
273,Cornell,20090912,34
274,Hampton,20090912,35
275,Washington,20090912,36
276,Colorado State,20090912,37
277,Southern Univ,20090912,38
278,Norfolk State,20090912,39
279,UCF,20090912,40
280,Hawai'i,20090912,41
281,VMI,20090912,42
282,Monmouth NJ,20090912,43
283,Iowa State,20090912,44
284,Bowling Green,20090912,45
285,Austin Peay,20090912,46
286,Prairie View,20090912,47
287,Buffalo,20090912,48
288,Indiana,20090912,49
289,Morgan State,20090912,50
290,Columbia,20090912,51
291,Western Michigan,20090912,52
292,Florida Atlantic,20090912,53
293,San Diego,20090912,54
294,Murray State,20090912,55
295,Marshall,20090912,56
296,Central Michigan,20090912,57
297,Bethune-Cookman,20090912,58
298,Central Conn,20090912,59
299,UNLV,20090912,60
300,Syracuse,20090912,61
301,Jackson State,20090912,62
302,SE Missouri State,20090912,63
303,Louisiana Tech,20090912,64
304,Wyoming,20090912,65
305,Dartmouth,20090912,66
306,Bucknell,20090912,67
307,Washington State,20090912,68
308,Memphis,20090912,69
309,Dayton,20090912,70
310,Tennessee Tech,20090912,71
311,UTEP,20090912,72
312,Temple,20090912,73
313,Presbyterian,20090912,74
314,Alabama A&M,20090912,75
315,Middle Tennessee,20090912,76
316,Louisiana-Lafayette,20090912,77
317,Indiana State,20090912,78
318,W Salem State,20090912,79
319,Arkansas State,20090912,80
320,Louisiana-Monroe,20090912,81
321,Georgetown,20090912,82
322,Robert Morris,20090912,83
323,Northern Illinois,20090912,84
324,UAB,20090912,85
325,Alabama State,20090912,86
326,Howard,20090912,87
327,San Jose State,20090912,88
328,Utah State,20090912,89
329,Ark Pine Bluff,20090912,90
330,Jacksonville,20090912,91
331,Akron,20090912,92
332,Florida International,20090912,93
333,Alcorn State,20090912,94
334,Duquesne,20090912,95
335,Ohio,20090912,96
336,San Diego State,20090912,97
337,Sacred Heart,20090912,98
338,Bryant,20090912,99
339,Army,20090912,100
340,Toledo,20090912,101
341,Morehead State,20090912,102
342,NCentral A&T,20090912,103
343,Kent State,20090912,104
344,Eastern Michigan,20090912,105
345,NCentral Central,20090912,106
346,Drake,20090912,107
347,Tulane,20090912,108
348,SMU,20090912,109
349,Marist,20090912,110
350,Davidson,20090912,111
351,Miami (Ohio),20090912,112
352,New Mexico State,20090912,113
353,Wagner,20090912,114
354,TX Southern,20090912,115
355,WKU,20090912,116
356,North Texas,20090912,117
357,Butler,20090912,118
358,MS Valley State,20090912,119
359,Idaho,20090912,120
360,St Francis PA,20090919,1
361,Savannah State,20090919,2
362,Valparaiso,20090919,3
363,Old Dominion,20090919,4
364,Campbell,20090919,5
365,Florida,20090919,6
366,Texas,20090919,7
367,Oklahoma,20090919,8
368,USC,20090919,9
369,Alabama,20090919,10
370,Ohio State,20090919,11
371,Virginia Tech,20090919,12
372,Mississippi,20090919,13
373,Penn State,20090919,14
374,Oklahoma State,20090919,15
375,LSU,20090919,16
376,California,20090919,17
377,Georgia,20090919,18
378,Boise State,20090919,19
379,Georgia Tech,20090919,20
380,Oregon,20090919,21
381,TCU,20090919,22
382,Florida State,20090919,23
383,Utah,20090919,24
384,BYU,20090919,25
385,North Carolina,20090919,26
386,Iowa,20090919,27
387,Notre Dame,20090919,28
388,Nebraska,20090919,29
389,Kansas,20090919,30
390,West Virginia,20090919,31
391,Appalachian State,20090919,32
392,LSU,20090919,33
393,Massachusetts,20090919,34
394,N Dakota State,20090919,35
395,Missouri,20090919,36
396,Oklahoma,20090919,37
397,Yale,20090919,38
398,Harvard,20090919,39
