,Team,Date,Rank
0,Alabama,20110801,1
1,Oklahoma,20110801,2
2,Oregon,20110801,3
3,LSU,20110801,4
4,Boise State,20110801,5
5,TCU,20110801,6
6,Texas A&M,20110801,7
7,Notre Dame,20110801,8
8,Oklahoma State,20110801,9
9,Florida State,20110801,10
10,Stanford,20110801,11
11,Arkansas,20110801,12
12,Ohio State,20110801,13
13,Missouri,20110801,14
14,Nebraska,20110801,15
15,South Carolina,20110801,16
16,Auburn,20110801,17
17,Mississippi State,20110801,18
18,USC,20110801,19
19,Virginia Tech,20110801,20
20,Wisconsin,20110801,21
21,Penn State,20110801,22
22,Utah,20110801,23
23,West Virginia,20110801,24
24,Clemson,20110801,25
25,Florida,20110801,26
26,Texas,20110801,27
27,Michigan State,20110801,28
28,Georgia,20110801,29
29,BYU,20110801,30
30,Cincinnati,20110801,31
31,Iowa,20110801,32
32,Oregon State,20110801,33
33,Miami (Florida),20110801,34
34,Boston College,20110801,35
35,Washington,20110801,36
36,Michigan,20110801,37
37,Arizona,20110801,38
38,Texas Tech,20110801,39
39,Air Force,20110801,40
40,Nevada,20110801,41
41,California,20110801,42
42,Tennessee,20110801,43
43,Pittsburgh,20110801,44
44,Illinois,20110801,45
45,UCLA,20110801,46
46,North Carolina State,20110801,47
47,Baylor,20110801,48
48,SMU,20110801,49
49,Northwestern,20110801,50
50,UCF,20110801,51
51,North Carolina,20110801,52
52,Kentucky,20110801,53
53,Mississippi,20110801,54
54,Connecticut,20110801,55
55,South Florida,20110801,56
56,Toledo,20110801,57
57,Rutgers,20110801,58
58,Tulsa,20110801,59
59,Arizona State,20110801,60
60,Georgia Tech,20110801,61
61,Maryland,20110801,62
62,East Carolina,20110801,63
63,Purdue,20110801,64
64,Wake Forest,20110801,65
65,Virginia,20110801,66
66,Southern Mississippi,20110801,67
67,Syracuse,20110801,68
68,Houston,20110801,69
69,Kansas State,20110801,70
70,Iowa State,20110801,71
71,San Diego State,20110801,72
72,Hawai'i,20110801,73
73,Louisville,20110801,74
74,Duke,20110801,75
75,Colorado,20110801,76
76,Navy,20110801,77
77,Vanderbilt,20110801,78
78,Troy,20110801,79
79,Northern Illinois,20110801,80
80,Kansas,20110801,81
81,Fresno State,20110801,82
82,Louisiana-Monroe,20110801,83
83,Central Michigan,20110801,84
84,Louisiana Tech,20110801,85
85,Florida International,20110801,86
86,Marshall,20110801,87
87,Western Michigan,20110801,88
88,Washington State,20110801,89
89,Colorado State,20110801,90
90,UAB,20110801,91
91,Temple,20110801,92
92,Minnesota,20110801,93
93,Rice,20110801,94
94,Ohio,20110801,95
95,Utah State,20110801,96
96,Idaho,20110801,97
97,Army,20110801,98
98,Wyoming,20110801,99
99,Miami (Ohio),20110801,100
100,Indiana,20110801,101
101,Tulane,20110801,102
102,Arkansas State,20110801,103
103,UNLV,20110801,104
104,Kent State,20110801,105
105,San Jose State,20110801,106
106,Bowling Green,20110801,107
107,Middle Tennessee,20110801,108
108,UTEP,20110801,109
109,WKU,20110801,110
110,New Mexico State,20110801,111
111,New Mexico,20110801,112
112,Florida Atlantic,20110801,113
113,Louisiana-Lafayette,20110801,114
114,Buffalo,20110801,115
115,Ball State,20110801,116
116,Akron,20110801,117
117,Eastern Michigan,20110801,118
118,Memphis,20110801,119
119,North Texas,20110801,120
120,Oregon,20110905,1
121,Villanova,20110905,2
122,Delaware,20110905,3
123,Stanford,20110905,4
124,Alabama,20110905,5
125,William & Mary,20110905,6
126,Eastern Washington,20110905,7
127,Auburn,20110905,8
128,Boise State,20110905,9
129,New Hampshire,20110905,10
130,Appalachian State,20110905,11
131,Ohio State,20110905,12
132,TCU,20110905,13
133,Ga Southern,20110905,14
134,James Madison,20110905,15
135,Arkansas,20110905,16
136,Virginia Tech,20110905,17
137,CSouthern Sacramento,20110905,18
138,Wofford,20110905,19
139,LSU,20110905,20
140,Oklahoma,20110905,21
141,Northern Arizona,20110905,22
142,Massachusetts,20110905,23
143,Florida State,20110905,24
144,Wisconsin,20110905,25
145,Elon,20110905,26
146,N Dakota State,20110905,27
147,Oklahoma State,20110905,28
148,South Carolina,20110905,29
149,SF Austin,20110905,30
150,Chattanooga,20110905,31
151,USC,20110905,32
152,Notre Dame,20110905,33
153,S Dakota State,20110905,34
154,Northern Iowa,20110905,35
155,Florida,20110905,36
156,Arizona State,20110905,37
157,Western Illinois,20110905,38
158,Richmond,20110905,39
159,Missouri,20110905,40
160,Nebraska,20110905,41
161,Montana,20110905,42
162,Southern Utah,20110905,43
163,Mississippi State,20110905,44
164,Arizona,20110905,45
165,Furman,20110905,46
166,Montana State,20110905,47
167,North Carolina State,20110905,48
168,Texas A&M,20110905,49
169,Southern Illinois,20110905,50
170,Weber State,20110905,51
171,Nevada,20110905,52
172,Pittsburgh,20110905,53
173,Jacksonville State,20110905,54
174,Penn,20110905,55
175,Oregon State,20110905,56
176,Miami (Florida),20110905,57
177,Missouri State,20110905,58
178,South Alabama,20110905,59
179,Washington,20110905,60
