,Team,Date,Rank
0,Alabama,20100801,1
1,Florida,20100801,2
2,Boise State,20100801,3
3,Texas,20100801,4
4,TCU,20100801,5
5,Oklahoma,20100801,6
6,Ohio State,20100801,7
7,Nebraska,20100801,8
8,Oregon,20100801,9
9,North Carolina,20100801,10
10,Iowa,20100801,11
11,Virginia Tech,20100801,12
12,USC,20100801,13
13,Penn State,20100801,14
14,Georgia Tech,20100801,15
15,Miami (Florida),20100801,16
16,LSU,20100801,17
17,Clemson,20100801,18
18,Arkansas,20100801,19
19,Wisconsin,20100801,20
20,Georgia,20100801,21
21,Texas Tech,20100801,22
22,Missouri,20100801,23
23,California,20100801,24
24,Utah,20100801,25
25,West Virginia,20100801,26
26,Florida State,20100801,27
27,South Carolina,20100801,28
28,Arizona,20100801,29
29,Stanford,20100801,30
30,Pittsburgh,20100801,31
31,Cincinnati,20100801,32
32,Oregon State,20100801,33
33,Boston College,20100801,34
34,Connecticut,20100801,35
35,BYU,20100801,36
36,Auburn,20100801,37
37,Rutgers,20100801,38
38,Mississippi,20100801,39
39,Houston,20100801,40
40,Michigan State,20100801,41
41,UCLA,20100801,42
42,Texas A&M,20100801,43
43,Notre Dame,20100801,44
44,Oklahoma State,20100801,45
45,South Florida,20100801,46
46,Navy,20100801,47
47,Tennessee,20100801,48
48,Washington,20100801,49
49,Kentucky,20100801,50
50,Nevada,20100801,51
51,Mississippi State,20100801,52
52,Fresno State,20100801,53
53,Air Force,20100801,54
54,Northwestern,20100801,55
55,Baylor,20100801,56
56,Michigan,20100801,57
57,Minnesota,20100801,58
58,Temple,20100801,59
59,Wake Forest,20100801,60
60,North Carolina State,20100801,61
61,Southern Mississippi,20100801,62
62,Colorado,20100801,63
63,Tulsa,20100801,64
64,Kansas,20100801,65
65,Middle Tennessee,20100801,66
66,Arizona State,20100801,67
67,UCF,20100801,68
68,Iowa State,20100801,69
69,Northern Illinois,20100801,70
70,Purdue,20100801,71
71,Central Michigan,20100801,72
72,Troy,20100801,73
73,Kansas State,20100801,74
74,Louisville,20100801,75
75,Duke,20100801,76
76,SMU,20100801,77
77,Louisiana Tech,20100801,78
78,Illinois,20100801,79
79,Vanderbilt,20100801,80
80,Wyoming,20100801,81
81,Idaho,20100801,82
82,Marshall,20100801,83
83,Indiana,20100801,84
84,Maryland,20100801,85
85,Syracuse,20100801,86
86,Virginia,20100801,87
87,East Carolina,20100801,88
88,Ball State,20100801,89
89,Hawai'i,20100801,90
90,Rice,20100801,91
91,San Diego State,20100801,92
92,Utah State,20100801,93
93,UAB,20100801,94
94,Louisiana-Lafayette,20100801,95
95,UNLV,20100801,96
96,Colorado State,20100801,97
97,Ohio,20100801,98
98,Kent State,20100801,99
99,Western Michigan,20100801,100
100,Arkansas State,20100801,101
101,UTEP,20100801,102
102,Buffalo,20100801,103
103,Bowling Green,20100801,104
104,Army,20100801,105
105,Florida Atlantic,20100801,106
106,Akron,20100801,107
107,Louisiana-Monroe,20100801,108
108,Toledo,20100801,109
109,Washington State,20100801,110
110,Miami (Ohio),20100801,111
111,San Jose State,20100801,112
112,North Texas,20100801,113
113,Memphis,20100801,114
114,Florida International,20100801,115
115,New Mexico State,20100801,116
116,New Mexico,20100801,117
117,Tulane,20100801,118
118,WKU,20100801,119
119,Eastern Michigan,20100801,120
120,Alabama,20100906,1
121,Villanova,20100906,2
122,William & Mary,20100906,3
123,Florida,20100906,4
124,Texas,20100906,5
125,Richmond,20100906,6
126,James Madison,20100906,7
127,Virginia Tech,20100906,8
128,TCU,20100906,9
129,Montana,20100906,10
130,Appalachian State,20100906,11
131,LSU,20100906,12
132,Oklahoma,20100906,13
133,Elon,20100906,14
134,New Hampshire,20100906,15
135,Ohio State,20100906,16
136,Boise State,20100906,17
137,Delaware,20100906,18
138,Southern Illinois,20100906,19
139,Arkansas,20100906,20
140,Penn State,20100906,21
141,Weber State,20100906,22
142,Northern Iowa,20100906,23
143,Georgia Tech,20100906,24
144,Oregon,20100906,25
