,Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,Home or Away
241,140,164014020051015,40,223,3,21,9,125,1,0,0,2,32,0,3,21,0,0,0,0,1,0,0,0,0,0,1,0,4,4,0,0,0,0,0,28,7,297,5,273,0,1,0,1,1,56,16,9.0,42,6.0,16,6,3,7,0,10,4,1,1572,7,63,10,1,1,0,4,2,0,Home
925,545,651054520051015,42,127,1,21,15,203,3,0,0,3,31,0,2,-1,0,1,8,0,1,11,0,0,0,0,1,1,4,4,0,0,0,0,0,31,9,383,5,320,1,0,0,2,2,44,26,4.0,13,4.0,16,0,2,5,0,6,7,2,1771,5,51,14,5,0,0,5,3,1,Home
1063,674,28067420051022,33,66,2,27,19,303,3,0,0,3,41,0,2,27,0,0,0,0,1,26,1,0,0,0,1,1,6,6,0,0,0,0,0,45,5,208,7,450,4,0,0,0,0,51,34,10.0,54,7.0,44,0,0,2,2,4,13,3,1666,5,35,9,3,1,0,4,3,1,Home
1353,774,774007120051022,48,213,2,26,16,258,3,0,0,2,44,0,1,10,0,1,53,1,2,0,0,1,42,0,2,1,6,6,0,0,0,0,0,45,4,161,8,419,3,0,0,1,1,49,32,8.0,52,5.0,43,3,2,3,2,13,11,2,1790,4,40,13,6,1,1,5,4,1,Away
7,5,5007120051029,42,153,2,29,15,205,1,0,0,2,41,0,2,-11,0,0,0,0,1,14,0,0,0,0,1,1,3,3,0,0,0,0,0,24,7,282,5,269,1,0,0,1,0,43,38,11.0,28,3.0,14,1,1,3,0,9,9,2,1927,8,84,16,7,1,1,4,3,1,Away
55,29,29052820051029,30,49,1,22,13,335,2,0,0,6,111,0,1,6,0,0,0,0,6,49,1,0,0,0,1,1,4,2,0,0,0,0,0,29,8,336,6,364,3,1,0,2,1,47,52,2.0,4,1.0,2,1,2,2,0,2,8,4,1403,1,15,12,3,0,0,3,2,1,Away
232,129,709012920051029,44,160,1,37,20,189,2,1,0,4,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,21,8,303,4,231,0,1,0,0,0,42,28,8.0,36,2.0,16,0,0,7,0,10,12,0,1923,8,105,17,5,3,2,3,3,0,Home
161,77,77081120051112,50,267,3,29,20,179,2,0,0,3,29,0,1,14,0,0,0,0,2,8,0,0,0,0,1,0,5,5,0,0,0,0,0,35,4,142,6,390,6,0,0,0,0,36,26,5.0,17,1.0,1,0,1,0,0,14,9,3,2310,7,65,16,11,0,0,5,5,0,Away
221,128,128000920051112,44,175,2,24,15,183,0,0,1,4,74,0,2,23,0,0,0,0,2,46,0,0,0,0,5,4,1,1,1,1,0,0,0,27,5,227,6,385,1,0,0,2,1,39,24,3.0,19,3.0,19,0,3,4,0,9,10,2,1891,3,37,13,3,1,1,5,2,3,Away
928,545,164054520051112,34,76,1,21,12,116,1,0,0,1,30,0,1,7,0,0,0,0,3,67,0,1,91,1,1,1,3,3,0,0,0,0,0,24,7,299,5,295,0,0,0,1,0,44,18,7.0,34,4.0,27,0,0,4,2,5,5,1,1621,6,55,13,4,0,0,2,2,0,Home
523,334,334073620051112,43,210,5,20,12,155,0,1,0,3,54,0,2,88,0,1,3,0,0,0,0,1,72,1,2,2,6,6,0,0,0,0,0,48,4,122,9,575,5,0,0,3,1,62,15,4.0,17,1.0,9,2,3,7,1,10,6,0,1695,5,36,16,7,0,0,6,4,1,Away
1066,674,674052820051112,40,68,0,33,18,234,2,2,0,3,57,0,2,28,0,0,0,0,1,0,0,0,0,0,3,2,2,2,0,0,0,0,0,20,7,283,5,290,2,0,0,2,1,35,32,8.0,47,6.0,38,0,1,7,0,3,10,5,1904,6,45,17,5,0,0,4,2,2,Away
811,503,503070920051116,43,162,3,30,21,176,2,1,0,2,54,0,2,7,0,0,0,0,3,50,0,0,0,0,0,0,5,5,0,0,0,0,0,35,7,210,6,306,0,1,0,2,0,31,52,3.0,11,1.0,8,0,1,4,0,8,11,0,2005,8,79,15,8,0,0,4,4,0,Away
316,196,9019620051126,41,135,2,33,21,286,2,0,0,5,87,0,3,8,0,0,0,0,3,51,0,0,0,0,1,1,4,4,0,0,0,0,0,31,7,307,6,375,3,0,0,0,0,51,14,2.0,12,1.0,10,0,0,5,0,13,11,1,1778,4,35,16,7,0,0,3,2,1,Home
743,466,96046620051126,47,235,4,22,15,189,1,0,0,3,57,0,0,0,0,0,0,0,1,27,0,0,0,0,1,1,5,5,0,0,0,0,0,38,5,180,7,355,1,0,0,3,0,43,28,5.0,16,1.0,7,0,1,6,0,13,9,0,1852,5,29,13,6,1,1,6,5,0,Home
549,366,366009620051202,53,147,2,22,13,251,3,0,0,5,72,0,0,0,0,0,0,0,3,35,0,0,0,0,2,2,5,4,0,0,0,0,0,40,5,166,8,338,0,1,0,2,1,42,24,4.0,7,0.0,0,0,2,9,0,10,9,2,2202,6,50,17,7,2,1,6,3,2,Away
1242,726,156072620051222,69,467,5,11,5,144,2,1,0,6,110,0,1,14,0,0,0,0,0,0,0,0,0,0,1,1,7,6,0,0,0,0,0,51,0,0,9,538,0,0,0,1,1,54,22,7.0,34,3.0,25,0,1,2,0,26,4,3,1756,2,10,10,4,4,2,3,1,1,Home
