,Team,Date,Rank
0,Alabama,20130801,1
1,Oregon,20130801,2
2,Notre Dame,20130801,3
3,Georgia,20130801,4
4,Texas,20130801,5
5,Stanford,20130801,6
6,Texas A&M,20130801,7
7,Oregon State,20130801,8
8,Ohio State,20130801,9
9,Florida,20130801,10
10,South Carolina,20130801,11
11,LSU,20130801,12
12,Oklahoma State,20130801,13
13,Oklahoma,20130801,14
14,Washington,20130801,15
15,TCU,20130801,16
16,USC,20130801,17
17,Clemson,20130801,18
18,Northwestern,20130801,19
19,Michigan,20130801,20
20,Michigan State,20130801,21
21,Florida State,20130801,22
22,Wisconsin,20130801,23
23,Nebraska,20130801,24
24,Missouri,20130801,25
25,Mississippi,20130801,26
26,Kansas State,20130801,27
27,Baylor,20130801,28
28,Arizona,20130801,29
29,Vanderbilt,20130801,30
30,Arizona State,20130801,31
31,UCLA,20130801,32
32,Virginia Tech,20130801,33
33,Louisville,20130801,34
34,Penn State,20130801,35
35,Miami (Florida),20130801,36
36,Mississippi State,20130801,37
37,Utah State,20130801,38
38,Georgia Tech,20130801,39
39,BYU,20130801,40
40,Boise State,20130801,41
41,Cincinnati,20130801,42
42,Bowling Green,20130801,43
43,North Carolina,20130801,44
44,Fresno State,20130801,45
45,Texas Tech,20130801,46
46,Indiana,20130801,47
47,Rutgers,20130801,48
48,Tulsa,20130801,49
49,San Jose State,20130801,50
50,Auburn,20130801,51
51,West Virginia,20130801,52
52,East Carolina,20130801,53
53,Rice,20130801,54
54,Pittsburgh,20130801,55
55,Iowa State,20130801,56
56,Utah,20130801,57
57,Minnesota,20130801,58
58,UCF,20130801,59
59,Louisiana-Monroe,20130801,60
60,Toledo,20130801,61
61,San Diego State,20130801,62
62,Tennessee,20130801,63
63,Syracuse,20130801,64
64,Iowa,20130801,65
65,Northern Illinois,20130801,66
66,Arkansas,20130801,67
67,Navy,20130801,68
68,Louisiana-Lafayette,20130801,69
69,Wake Forest,20130801,70
70,SMU,20130801,71
71,Arkansas State,20130801,72
72,Ball State,20130801,73
73,Duke,20130801,74
74,Purdue,20130801,75
75,Houston,20130801,76
76,Middle Tennessee,20130801,77
77,Washington State,20130801,78
78,Connecticut,20130801,79
79,Marshall,20130801,80
80,Virginia,20130801,81
81,California,20130801,82
82,Buffalo,20130801,83
83,North Texas,20130801,84
84,UT San Antonio,20130801,85
85,Ohio,20130801,86
86,Boston College,20130801,87
87,Illinois,20130801,88
88,Kent State,20130801,89
89,Maryland,20130801,90
90,North Carolina State,20130801,91
91,UAB,20130801,92
92,WKU,20130801,93
93,Kentucky,20130801,94
94,Nevada,20130801,95
95,Temple,20130801,96
96,Wyoming,20130801,97
97,Colorado State,20130801,98
98,Hawai'i,20130801,99
99,South Florida,20130801,100
100,Texas State,20130801,101
101,Miami (Ohio),20130801,102
102,Central Michigan,20130801,103
103,Memphis,20130801,104
104,Florida Atlantic,20130801,105
105,Louisiana Tech,20130801,106
106,UNLV,20130801,107
107,Troy,20130801,108
108,South Alabama,20130801,109
109,Western Michigan,20130801,110
110,Colorado,20130801,111
111,Tulane,20130801,112
112,Eastern Michigan,20130801,113
113,Army,20130801,114
114,Air Force,20130801,115
115,Kansas,20130801,116
116,Akron,20130801,117
117,UTEP,20130801,118
118,New Mexico,20130801,119
119,Florida International,20130801,120
120,Southern Mississippi,20130801,121
121,Massachusetts,20130801,122
122,New Mexico State,20130801,123
123,Idaho,20130801,124
124,Georgia State,20130801,125
125,Alabama,20130902,1
126,N Dakota State,20130902,2
127,Sam Houston State,20130902,3
128,Oregon,20130902,4
129,Texas A&M,20130902,5
130,Ga Southern,20130902,6
131,S Dakota State,20130902,7
132,Georgia,20130902,8
133,LSU,20130902,9
134,Northern Iowa,20130902,10
